lv,ru
Āgenskalns,Агенскалнс
Atgāzene,Атгазене
Avoti,Авоту
Beberbeķi,Бебербеки
Berģi,Берги
Bieriņi,Биерини
Bišumuiža,Бишумуйжа
Bolderāja,Болдерая
Brasa,Браса
Brekši,Брекши
Bukulti,Букулты
Centrs,Центр
Čiekurkalns,Чиекуркалнс
Dārzciems,Дарзциемс
Dārziņi,Дарзини
Daugavgrīva,Даугавгрива
Dreiliņi,Дрейлини
Dzirciems,Дзирциемс
Grīziņkalns,Гризинькалнс
Iļģuciems,Ильгюциемс
Imanta,Иманта
Jaunciems,Яунциемс
Jugla,Югла
Katlakalns,Катлакалнс
Ķengarags,Кенгарагс
Ķīpsala,Кипсала
Kleisti,Клейсты
Kundziņsala,Кундзиньсала
Mangaļsala,Мангальсала
Maskavas forštate,Московский форштадт
Mežaparks,Межапарк
Mežciems,Межциемс
Mīlgrāvis,Милгравис
Mūkupurvs,Мукупурвс
Pētersala-Andrejsala,Петерсала-Андрейсала
Pļavnieki,Плявниеки
Pleskodāle,Плескодале
Purvciems,Пурвциемс
Rītabuļļi,Ритабулли
Rumbula,Румбула
Salas,Салас
Šampēteris,Шампетерис
Sarkandaugava,Саркандаугава
Skanste,Скансте
Šķirotava,Шкиротава
Spilve,Спилве
Suži,Сужи
Teika,Тейка
Torņakalns,Торнякалнс
Trīsciems,Трисциемс
Vecāķi,Вецаки
Vecdaugava,Вецдаугава
Vecmīlgrāvis,Вецмилгравис
Vecpilsēta,Старый город
Voleri,Волери
Zasulauks,Засулаукс
Ziepniekkalns,Зиепниеккалнс
Zolitūde,Золитуде
